,Gal,nsa_mstar,nsa_sersic_n,rat_vel_sigma,pa_w,pa_w_sigma,paph,paph_e,pakn,pakn_e,pamod,pamod_e,bar_pa,bar_pa_e,inc_w,inc_w_ep,inc_w_em,vc_flat,vc_flat_err,bar_dep,bar_dep_e,bar_med,bar_upp,bar_low,om_med,om_upp,om_low,cr_med,cr_upp,cr_low,R_med,R_upp,R_low
34,11958-6104,10.9099038948411,1.7330188000000002,0.352472362317116,77.6397634454218,1.484887118777796,72.90867188162477,15.633670347746994,75.0,1.1666666666666667,80.28,1.64,89.595585,79.316945,26.506729168849763,31.14193178188575,20.952841777514305,403.03439904067335,5.521608778092462,6.64992418,1.1005624399999996,9.784929974425827,11.29505280430404,8.421869756994674,23.80346856367711,30.587732116709308,18.677524313057148,15.586651446632874,18.98279187331645,12.692466852537027,1.5954533273069431,2.0406423409205807,1.2326076790370049
35,11970-12704,10.9472321698039,3.0538528,0.305811485026336,89.89804228766373,1.4141782083598056,87.79565537955624,1.0966034737813073,92.0,0.1666666666666666,94.19,1.92,42.737105,5.1403149999999975,46.465670235274345,51.73764149436148,40.6841394291711,192.61165043606567,5.370472489221479,8.85104906,1.4648485500000001,7.7118335821711215,9.09109107129984,6.5320424818637095,20.12895436530529,25.34348827676441,15.068811645758696,9.276989738742571,12.330563938972436,7.152966284396987,1.2031141129315932,1.6652350515956431,0.88672886817584
36,11970-6102,10.8541294114466,2.222401,0.360481690830936,168.1611240596277,0.8320214940922745,151.06420757056847,0.8871589686084496,169.0,1.5,167.79,0.55,13.02969,2.8946199999999997,33.62787064342538,41.43944799093779,23.70203359586496,367.6693936701177,15.456952353544796,5.2100219600000015,0.8622590299999993,5.293203233968537,6.072180369522016,4.573532486225241,26.248882321528416,34.42171015013379,21.541962150022908,12.452145126897992,15.098070931176428,9.95958897115409,2.347056469799398,2.996286204243061,1.7878709754417208
37,7993-12704,11.2258279378267,5.89804,0.149664725582659,127.60071178029196,1.4581055990567309,129.41627152315843,2.130429434678122,126.0,1.0,134.12,4.74,26.199735,2.246314999999999,30.73453890466261,33.73837964837318,27.43844065293198,252.68832946602743,5.546700428449934,11.11866954,1.8401399699999992,11.183109884608143,12.904056194345191,9.629742423764531,24.10319447176146,30.95853377674429,17.92305131437732,10.550628772700328,14.060981152374508,8.132203456018251,0.9475232789411464,1.3026084141794103,0.6987383356937308
38,8091-6101,11.1638976615911,4.75759,0.381520402684005,85.79271772356236,0.5773502691896257,84.84815317068707,0.5836787122195228,87.0,0.6666666666666666,85.53,0.52,42.84617,2.6642599999999987,46.09561655552481,47.90371585992122,44.23082691594625,259.3490925109744,3.208200957918701,7.314916860000001,0.7680660999999991,7.626853349560706,8.383474599845156,6.9048873759619775,23.25989034509517,25.89647578783848,20.27404163351606,11.115057169709146,12.678815215547678,9.926651532442628,1.4642430026758688,1.7309073637174384,1.2569254750623449
39,8245-12702,11.0582253573731,3.77604,0.325095064285491,17.66476163977028,0.7070891041799028,16.329962755704535,0.5433718167719424,19.0,0.1666666666666666,13.27,0.45,170.310135,3.8072149999999993,51.831831764893344,54.55831330755865,48.99921851836186,351.17535734983346,3.4920258341946573,10.826075800000002,1.7917158199999994,9.395996588289922,10.8658273146253,8.104676990836412,26.326490106292116,28.221520993196894,23.575729530520363,11.590536780810272,12.635131033611207,10.867014051739403,1.2500916127933843,1.4868047582019273,1.0491077232021224
40,8324-12702,10.9613434086836,3.3691800000000005,0.287595174564738,68.47196660287466,0.7777980145978931,68.90428040240963,0.7471103802005726,65.0,0.3333333333333333,68.04,0.43,23.898670000000003,7.537609999999999,35.90857847457856,37.141717811138506,34.63763879322145,252.35728518646613,1.0725747169524995,7.49427682,0.37471371,5.363866636609892,5.6319802287488745,5.0963653244579925,33.31991943966805,40.30095366828917,25.910351996096097,7.198045387131544,9.309383230088836,5.743492086260897,1.3447780238815912,1.7467420959540607,1.0644487120121569
41,8589-12705,11.1097801918647,1.6692,0.1878661147896149,167.83585793289058,1.328668037528193,165.51963447467634,1.9695717276758065,172.0,1.0,169.77,0.61,34.654165,2.7021349999999984,25.016549409886387,27.268358896112108,22.55661031196434,309.2429837249452,1.2710478002161325,7.39435264,1.2237666299999996,4.845378676077076,5.566908535119529,4.194686386997043,28.851275953063425,37.94737434332568,20.04589387555247,10.078190123134872,13.517699975774248,7.819671829204822,2.093030338232573,2.870252244511589,1.556100307080701
42,8596-12704,10.8869559229162,3.3506,0.393525069015074,82.57631867818688,1.7677227604497572,85.89359498824152,2.4798112351729333,73.0,1.3333333333333333,79.26,0.78,58.40301,1.9191399999999987,44.96728119286247,48.01105655055228,41.75203425515832,258.2041335684125,1.5198484416403149,7.594200999999999,1.2568402000000014,6.6947198902368745,7.730021771130124,5.787443949605779,25.587680437029597,29.97856031278124,20.86853369843901,9.496155903545093,11.283911243030785,8.133480244349903,1.4269368268826583,1.77687736421071,1.1446605346820131
43,8622-12704,11.0679177491703,2.48287,0.406525628762056,76.64577067075673,1.2697147065625258,78.5745347941143,3.014773800879084,75.0,0.5,76.23,0.72,62.794645,0.22809499999999971,42.782175487411344,44.65304303537052,40.842803676707895,265.3438510945733,4.795907036148203,3.77232054,0.18861642000000023,5.913391776265483,6.191757164946532,5.629007238275666,27.340342464389558,33.5956034164934,18.39083306474689,8.519118083289182,12.078445527705613,6.52377441553146,1.4418949524364812,2.0556287775988817,1.0997061160121284
44,8656-6103,11.177860667028902,4.56736,0.389700852436826,14.580500237498567,1.5555960291957862,24.58525020891844,7.749142360542844,12.0,1.6666666666666667,17.16,1.09,-39.581025,2.6095550000000003,27.39348322339745,32.42766979485497,21.303918315375725,254.2654986010156,3.6959677939528137,3.34421254,0.55346714,4.752414466349833,5.483728679969905,4.1052276263920895,32.68629098175376,43.6670505601664,24.100659659722425,7.854995640487387,10.309182327318362,6.0509634220054265,1.6505736573563126,2.2479942505022725,1.227779608922311
45,9046-12702,10.8736068749459,4.0469800000000005,0.284054868279593,41.06933939561607,1.1587498668010414,39.729984466543215,2.021265173447816,41.0,0.6666666666666666,42.45,0.37,89.52787000000001,1.6933100000000039,43.23158377791623,44.017567890314425,42.433958477060905,245.1966800052297,1.494691485829056,6.06956798,0.6373045200000003,5.088685883608808,5.572030042644752,4.6215642912139,30.971880401231125,34.816500183820175,27.009719616149265,7.387050425133528,8.19574079501176,6.280978119348241,1.438397723689559,1.6646832713606612,1.2095654233797346
46,9187-12704,10.9316329649509,4.28016,0.271239948390361,78.18475149112517,0.9307763233991772,81.99352525174722,11.004852381032014,78.0,1.3333333333333333,78.36,0.33,93.709105,1.7452950000000058,41.95619188821327,43.70867434260112,40.14192212586784,214.45890039554263,1.2960775780023088,8.3536211,0.877130150000001,5.221172491362342,5.722591792333795,4.743834208796544,12.390133409825165,15.885738853426592,8.713880347619556,14.347979482413695,18.054296529935428,11.667270366080167,2.7473055690418176,3.524417071184107,2.206160831047563
47,9187-3701,11.157011869005402,4.785069999999999,0.209872957116482,143.93325998889773,2.1212673125397083,109.13303794382568,4.330979514962274,146.0,3.0,141.87,0.76,99.93743,0.5199600000000046,42.014917578759096,47.51206466536197,35.85457958645071,105.16305406379348,1.460353771355771,5.310629960000001,0.26553045,9.529061303363386,10.327624821726358,8.825592171514176,8.248219978896781,10.503316210963384,6.3648811044218805,11.382574593262689,13.909056711807487,9.29495735099465,1.192973269112087,1.475790959178282,0.9552915393034214
48,9890-12702,11.1602394254599,5.9673,0.367818131041851,139.2500057683821,0.7070891041799029,139.36537341017134,4.3067597965239885,139.0,0.5,139.5,0.23,121.607455,1.790104999999997,42.16345129918278,42.868075722744976,41.449124634896414,240.64206829587403,0.9368574781001088,5.27596998,1.22429063,7.69151564319613,9.197073753680815,6.344493674218231,26.990993318134603,28.7835316627193,25.022890931888803,8.463633755477844,9.282042013306503,7.756990502022258,1.1042009651870806,1.3492323786763123,0.8956501819618886
49,8091-12701,10.766931222555598,3.25825,0.365175292338291,162.07875760231028,0.8485069250158834,137.2308038079088,18.91628365905877,162.0,1.1666666666666667,162.16,0.82,110.982815,0.3520649999999961,37.60442252566615,41.811304811201175,32.95051820062917,224.71225272094284,11.86703232472581,8.246523360000001,0.8658851099999998,11.705095472470877,12.951301743011513,10.551745501416052,11.810999079600624,13.470581462231946,10.30517058606362,18.3884437494192,21.27216398831795,15.995820281450069,1.5751433740952656,1.8815136781194184,1.3191507008051997
50,9894-12702,10.7000644831791,1.78401,0.454755708390296,6.926097980608711,1.1419137045027654,8.926444327394126,1.6303290669751982,5.0,0.1666666666666666,1.77,1.5,142.343345,3.122915000000006,43.94811954534512,54.154897602343,31.312985489953768,421.67980391676366,35.36347602459036,3.21856258,0.33794856000000006,4.705011690214917,5.680478699097126,4.028282739238058,39.5699068437462,50.28000113803928,33.32923388761215,10.194602311742694,12.387437270847846,8.202437925818247,2.134592429906308,2.7460970813291388,1.5916764524314198
51,11977-1902,10.6908645829572,2.2519586,0.3211838000340499,77.94131258255572,1.2477041515947818,115.19412273579,2.3183921574860453,78.0,1.3333333333333333,77.5,3.54,51.583614999999995,4.456244999999999,52.56455457462578,60.15281017458949,44.10662221196646,333.96414324957806,9.152356223912676,4.38894802,0.7263714200000004,5.601086946909041,6.854551851500468,4.661172929987241,29.83975354962049,35.6515430117861,23.936183691221856,8.695881554319097,10.437462421797129,7.338165423497887,1.5478136022768318,2.0175120429968976,1.171241191264946
